"TOA5","CR1000-Admin Met","CR1000","52119","CR1000.Std.25","CPU:WXT520-30,60.Rain-1-10-16.CR1","19841","Admin"
"TIMESTAMP","RECORD","Ws_Mean","Wd_MeanUnitVector","Wd_StdDev","AirTemp_Avg","RelHumidity","AirPressure","Ramount_Tot","Hamount_Tot"
"TS","RN","mph","Deg","Deg","Celsius","%","hPa","in","hits/cm2"
"","","WVc","WVc","WVc","Avg","Smp","Smp","Tot","Tot"
"2016-01-10 17:00:00",0,2.987,61.39,21.76,37.07,70.2,644.3,0,0
"2016-01-10 18:00:00",1,2.237,48.93,31.56,36.28,71.2,644.7,0,0
"2016-01-10 19:00:00",2,1.758,54.81,53.89,35.59,75.3,645.1,0,0
"2016-01-10 20:00:00",3,1.3,217.2,31.14,34.27,76.7,645.2,0,0
"2016-01-10 21:00:00",4,3.956,32.84,32.06,35.3,66,645.6,0,0
"2016-01-10 22:00:00",5,2.571,2.616,29.14,35.6,67.3,645.8,0,0
"2016-01-10 23:00:00",6,2.504,314.5,16.75,34,72.1,646,0,0
"2016-01-11 00:00:00",7,3.357,22.83,18.71,34.96,66.1,645.8,0,0
"2016-01-11 01:00:00",8,3.956,26.59,20.33,34.45,72.5,646,0,0
"2016-01-11 02:00:00",9,5.79,48.31,12.35,32.87,70.6,646.1,0,0
"2016-01-11 03:00:00",10,2.235,254.5,54.44,31.28,71.2,646.1,0,0
"2016-01-11 04:00:00",11,2.041,98.3,45.5,30.35,71.5,645.9,0,0
"2016-01-11 05:00:00",12,2.163,139.5,39.73,28.73,77.2,646.1,0,0
"2016-01-11 06:00:00",13,3.206,140.8,18.53,28.65,72.4,646.3,0,0
"2016-01-11 07:00:00",14,4.796,96.9,11.68,28.79,68.1,646.6,0,0
"2016-01-11 08:00:00",15,5.24,52.55,30.1,30.2,62.8,647,0,0
"2016-01-11 09:00:00",16,7.776,73.79,13.57,31.49,54.7,647.4,0,0
"2016-01-11 10:00:00",17,8.9,67.71,13.79,32.72,52.9,647.6,0,0
"2016-01-11 11:00:00",18,8,58.21,15.33,33.58,50.9,647.5,0,0
"2016-01-11 12:00:00",19,5.067,76.02,21.26,35.33,45,647,0,0
"2016-01-11 13:00:00",20,5.895,60.25,22.15,37.18,41.6,646.7,0,0
"2016-01-11 14:00:00",21,5.943,86.9,23.55,38,35.4,646.4,0,0
"2016-01-11 15:00:00",22,2.863,140,41.38,39.91,34.5,646.4,0,0
"2016-01-11 16:00:00",23,2.954,106.8,42.52,40.73,37.9,646.5,0,0
"2016-01-11 17:00:00",24,3.491,97.3,12.99,37.61,47.5,646.6,0,0
"2016-01-11 18:00:00",25,2.014,119.7,49.32,35.23,53.1,647,0,0
"2016-01-11 19:00:00",26,2.413,106.5,30.33,34.6,54.8,647.2,0,0
"2016-01-11 20:00:00",27,2.038,58.19,23.51,35.33,52.8,647.3,0,0
"2016-01-11 21:00:00",28,1.857,79.96,43.18,35.51,43.8,647.4,0,0
"2016-01-11 22:00:00",29,2.076,113.5,28.47,36.53,40.1,647.6,0,0
"2016-01-11 23:00:00",30,2.762,109.2,27.84,36.48,36.2,647.5,0,0
"2016-01-12 00:00:00",31,2.847,105.1,20.47,35.98,37.8,647.3,0,0
"2016-01-12 01:00:00",32,2.345,104.4,32.24,35.71,42.6,647.3,0,0
"2016-01-12 02:00:00",33,2.682,111,21.25,34.95,40.4,647.3,0,0
"2016-01-12 03:00:00",34,3.441,111,18.15,35.5,41.1,647.2,0,0
"2016-01-12 04:00:00",35,3.769,104.1,9.83,34.15,47.7,647,0,0
"2016-01-12 05:00:00",36,3.246,102,10.08,32.36,48.6,646.8,0,0
"2016-01-12 06:00:00",37,1.644,93.8,29.13,32.45,48.1,646.7,0,0
"2016-01-12 07:00:00",38,1.86,95.6,63.37,32.68,43.7,646.7,0,0
"2016-01-12 08:00:00",39,1.792,100.4,36.95,36.76,35.3,646.8,0,0
"2016-01-12 09:00:00",40,2.476,86,32.34,41.16,30.2,647.6,0,0
"2016-01-12 10:00:00",41,6.056,95.2,13.65,40.59,38.6,648,0,0
"2016-01-12 11:00:00",42,6.443,108.6,14.34,40.54,34,647.6,0,0
"2016-01-12 12:00:00",43,6.172,112.7,14.1,43.61,37,646.5,0,0
